sale_id,product_id,customer_id,store_id,date_id,total_amount,quantity_sold
1.0,323.0,314.0,83.0,61.0,1105.67,4.0
2.0,144.0,626.0,87.0,144.0,2361.85,5.0
3.0,83.0,264.0,41.0,205.0,421.63,2.0
4.0,650.0,872.0,35.0,338.0,3474.0,10.0
5.0,672.0,44.0,25.0,184.0,2852.87,7.0
6.0,655.0,69.0,63.0,82.0,432.71,1.0
7.0,400.0,165.0,80.0,88.0,630.87,2.0
8.0,870.0,937.0,61.0,209.0,1125.38,3.0
9.0,741.0,417.0,92.0,236.0,53.81,10.0
10.0,944.0,109.0,46.0,141.0,1171.03,8.0
11.0,929.0,874.0,21.0,33.0,628.74,4.0
12.0,24.0,382.0,1.0,7.0,2447.18,6.0
13.0,307.0,491.0,74.0,252.0,1821.08,5.0
14.0,664.0,935.0,99.0,238.0,649.96,3.0
15.0,81.0,646.0,5.0,129.0,128.37,5.0
16.0,696.0,454.0,42.0,301.0,469.46,3.0
17.0,12.0,959.0,12.0,276.0,1188.37,9.0
18.0,685.0,626.0,1.0,90.0,1120.38,10.0
19.0,455.0,329.0,1.0,55.0,798.85,9.0
20.0,419.0,657.0,13.0,294.0,876.56,10.0
21.0,236.0,779.0,90.0,36.0,2347.23,7.0
22.0,785.0,59.0,19.0,231.0,1960.34,7.0
23.0,271.0,132.0,78.0,245.0,259.45,6.0
24.0,216.0,561.0,6.0,37.0,277.03,3.0
25.0,225.0,974.0,24.0,256.0,899.58,2.0
26.0,734.0,15.0,36.0,223.0,1336.14,4.0
27.0,942.0,951.0,2.0,76.0,1872.52,6.0
28.0,908.0,954.0,8.0,272.0,682.49,2.0
29.0,822.0,29.0,14.0,320.0,223.25,10.0
30.0,874.0,638.0,69.0,5.0,1373.33,5.0
31.0,339.0,450.0,6.0,110.0,47.87,2.0
32.0,293.0,943.0,58.0,273.0,508.27,4.0
33.0,207.0,384.0,68.0,120.0,363.55,1.0
34.0,128.0,934.0,76.0,308.0,238.8,3.0
35.0,211.0,431.0,12.0,235.0,181.49,2.0
36.0,226.0,27.0,39.0,332.0,701.51,4.0
37.0,215.0,604.0,66.0,308.0,89.33,2.0
38.0,375.0,956.0,56.0,277.0,514.77,3.0
39.0,508.0,667.0,34.0,40.0,21.73,1.0
40.0,529.0,394.0,26.0,196.0,2738.33,6.0
41.0,397.0,729.0,63.0,14.0,763.63,4.0
42.0,843.0,917.0,94.0,283.0,378.4,1.0
43.0,361.0,90.0,73.0,200.0,127.49,5.0
44.0,168.0,87.0,7.0,343.0,685.32,4.0
45.0,683.0,830.0,18.0,26.0,2436.85,7.0
46.0,158.0,888.0,29.0,80.0,2519.31,8.0
47.0,48.0,137.0,45.0,222.0,1452.27,4.0
48.0,167.0,329.0,67.0,44.0,916.05,9.0
49.0,346.0,17.0,55.0,218.0,1032.24,10.0
50.0,578.0,47.0,93.0,6.0,346.18,2.0
51.0,769.0,770.0,5.0,91.0,308.18,1.0
52.0,226.0,519.0,38.0,255.0,435.36,8.0
53.0,600.0,288.0,5.0,92.0,2197.48,8.0
54.0,759.0,898.0,42.0,353.0,205.79,5.0
55.0,233.0,181.0,85.0,128.0,1543.94,4.0
56.0,607.0,559.0,20.0,159.0,2622.66,8.0
57.0,907.0,263.0,29.0,26.0,782.7,2.0
58.0,596.0,351.0,29.0,227.0,2215.47,5.0
59.0,713.0,962.0,84.0,134.0,330.48,3.0
60.0,822.0,811.0,1.0,91.0,395.35,2.0
61.0,1.0,995.0,81.0,329.0,3728.54,10.0
62.0,624.0,987.0,60.0,121.0,1401.68,9.0
63.0,972.0,122.0,59.0,145.0,749.45,9.0
64.0,862.0,764.0,20.0,314.0,2191.7,5.0
65.0,278.0,836.0,1.0,26.0,2198.21,5.0
66.0,104.0,928.0,61.0,103.0,2683.18,6.0
67.0,506.0,160.0,53.0,122.0,2479.27,9.0
68.0,443.0,226.0,32.0,248.0,854.41,4.0
69.0,932.0,248.0,79.0,299.0,2584.22,7.0
70.0,276.0,563.0,5.0,6.0,483.49,2.0
71.0,145.0,778.0,65.0,64.0,1420.38,7.0
72.0,139.0,593.0,29.0,300.0,474.47,5.0
73.0,971.0,299.0,76.0,359.0,1044.7,8.0
74.0,154.0,935.0,49.0,189.0,417.45,1.0
75.0,714.0,645.0,42.0,123.0,908.2,3.0
76.0,990.0,549.0,4.0,56.0,1570.89,9.0
77.0,713.0,383.0,98.0,282.0,3460.04,10.0
78.0,936.0,968.0,3.0,365.0,413.12,5.0
79.0,22.0,40.0,16.0,317.0,636.38,8.0
80.0,381.0,922.0,91.0,205.0,2237.63,5.0
81.0,922.0,131.0,7.0,173.0,1806.81,10.0
82.0,94.0,582.0,87.0,33.0,287.61,5.0
83.0,660.0,622.0,58.0,80.0,1973.07,10.0
84.0,379.0,675.0,76.0,63.0,1991.84,4.0
85.0,341.0,46.0,72.0,76.0,2188.39,9.0
86.0,343.0,622.0,47.0,116.0,869.44,5.0
87.0,931.0,479.0,10.0,198.0,1041.78,4.0
88.0,296.0,7.0,50.0,225.0,2432.34,8.0
89.0,879.0,515.0,12.0,361.0,584.95,5.0
90.0,826.0,148.0,83.0,317.0,98.16,1.0
91.0,850.0,139.0,2.0,294.0,1745.04,9.0
92.0,688.0,234.0,38.0,102.0,197.61,3.0
93.0,548.0,189.0,91.0,58.0,26.13,3.0
94.0,99.0,295.0,50.0,7.0,488.0,2.0
95.0,991.0,730.0,73.0,360.0,676.43,5.0
96.0,810.0,3.0,62.0,223.0,3855.15,8.0
97.0,293.0,837.0,96.0,153.0,933.66,5.0
98.0,615.0,409.0,88.0,118.0,551.03,6.0
99.0,152.0,545.0,11.0,180.0,1484.99,7.0
100.0,611.0,314.0,29.0,181.0,3165.85,10.0
101.0,344.0,295.0,13.0,212.0,1646.68,9.0
102.0,733.0,959.0,72.0,337.0,791.39,10.0
103.0,550.0,412.0,94.0,168.0,206.4,2.0
104.0,497.0,635.0,40.0,221.0,301.83,10.0
105.0,164.0,270.0,8.0,163.0,588.56,8.0
106.0,899.0,668.0,11.0,335.0,1262.59,9.0
107.0,136.0,527.0,77.0,180.0,471.12,1.0
108.0,416.0,497.0,73.0,107.0,818.53,4.0
109.0,687.0,636.0,46.0,24.0,1572.82,4.0
110.0,817.0,983.0,46.0,276.0,32.57,1.0
111.0,360.0,251.0,41.0,164.0,360.11,1.0
112.0,623.0,906.0,97.0,81.0,74.16,7.0
113.0,511.0,273.0,5.0,102.0,475.79,2.0
114.0,647.0,748.0,31.0,163.0,2035.61,8.0
115.0,858.0,403.0,66.0,181.0,550.57,7.0
116.0,905.0,821.0,57.0,109.0,3950.68,10.0
117.0,684.0,993.0,25.0,241.0,595.88,7.0
118.0,35.0,925.0,78.0,3.0,569.07,3.0
119.0,749.0,475.0,61.0,65.0,1517.48,7.0
120.0,365.0,39.0,19.0,318.0,1291.47,7.0
121.0,178.0,31.0,89.0,106.0,80.0,6.0
122.0,845.0,313.0,61.0,170.0,2948.98,6.0
123.0,521.0,519.0,30.0,194.0,2312.85,7.0
124.0,981.0,287.0,60.0,36.0,4268.42,10.0
125.0,201.0,305.0,38.0,306.0,552.87,2.0
126.0,472.0,473.0,97.0,307.0,155.57,9.0
127.0,254.0,967.0,77.0,135.0,2308.47,10.0
128.0,557.0,812.0,11.0,171.0,3461.42,7.0
129.0,207.0,623.0,55.0,220.0,833.36,2.0
130.0,724.0,877.0,93.0,175.0,46.69,1.0
131.0,536.0,956.0,46.0,82.0,126.57,3.0
132.0,342.0,175.0,98.0,268.0,2312.65,6.0
133.0,347.0,299.0,5.0,193.0,353.46,1.0
134.0,363.0,619.0,93.0,337.0,851.14,3.0
135.0,803.0,808.0,63.0,69.0,2766.54,10.0
136.0,574.0,105.0,78.0,75.0,1731.39,5.0
137.0,149.0,872.0,22.0,281.0,1364.68,4.0
138.0,729.0,101.0,98.0,73.0,1838.4,6.0
139.0,988.0,585.0,43.0,78.0,1389.73,3.0
140.0,407.0,210.0,38.0,284.0,2915.83,10.0
141.0,865.0,590.0,98.0,35.0,241.9,1.0
142.0,368.0,524.0,31.0,115.0,1232.47,6.0
143.0,414.0,708.0,34.0,234.0,248.86,5.0
144.0,212.0,267.0,15.0,140.0,507.74,3.0
145.0,626.0,471.0,59.0,322.0,1485.31,7.0
146.0,844.0,866.0,61.0,192.0,244.76,3.0
147.0,892.0,384.0,84.0,94.0,2331.81,9.0
148.0,885.0,507.0,26.0,272.0,193.73,6.0
149.0,891.0,398.0,23.0,337.0,3485.66,7.0
150.0,387.0,418.0,29.0,119.0,79.28,1.0
151.0,914.0,135.0,99.0,270.0,2561.76,8.0
152.0,963.0,877.0,58.0,262.0,1852.29,6.0
153.0,367.0,907.0,30.0,68.0,1571.51,7.0
154.0,492.0,810.0,33.0,266.0,1366.75,3.0
155.0,318.0,851.0,49.0,68.0,320.1,6.0
156.0,263.0,685.0,86.0,90.0,795.84,5.0
157.0,709.0,764.0,19.0,250.0,1378.23,5.0
158.0,374.0,757.0,42.0,169.0,3676.29,10.0
159.0,597.0,711.0,8.0,323.0,2741.53,9.0
160.0,98.0,417.0,58.0,233.0,1023.19,5.0
161.0,530.0,511.0,87.0,258.0,3686.92,8.0
162.0,299.0,933.0,52.0,276.0,194.26,2.0
163.0,527.0,528.0,57.0,321.0,351.82,4.0
164.0,256.0,681.0,31.0,90.0,1423.81,4.0
165.0,53.0,104.0,35.0,271.0,4346.78,9.0
166.0,3.0,502.0,3.0,284.0,1135.79,8.0
167.0,178.0,633.0,60.0,330.0,469.39,8.0
168.0,819.0,877.0,37.0,135.0,1283.08,4.0
169.0,573.0,118.0,32.0,336.0,1212.47,9.0
170.0,887.0,87.0,26.0,165.0,3285.01,10.0
171.0,180.0,204.0,60.0,228.0,1262.08,6.0
172.0,584.0,499.0,75.0,38.0,263.02,7.0
173.0,853.0,477.0,59.0,342.0,712.68,2.0
174.0,900.0,726.0,61.0,330.0,3290.03,9.0
175.0,707.0,593.0,81.0,234.0,778.88,3.0
176.0,839.0,908.0,11.0,254.0,943.51,8.0
177.0,690.0,926.0,21.0,278.0,4216.14,10.0
178.0,177.0,361.0,41.0,86.0,204.92,2.0
179.0,243.0,263.0,72.0,172.0,2806.61,10.0
180.0,185.0,708.0,77.0,123.0,2674.0,8.0
181.0,640.0,320.0,47.0,42.0,665.67,3.0
182.0,30.0,83.0,58.0,68.0,1401.29,4.0
183.0,507.0,757.0,33.0,291.0,100.44,1.0
184.0,848.0,948.0,95.0,147.0,2219.24,9.0
185.0,289.0,871.0,67.0,163.0,328.05,1.0
186.0,477.0,939.0,58.0,322.0,1621.36,5.0
187.0,279.0,296.0,56.0,11.0,2358.4,8.0
188.0,272.0,465.0,66.0,199.0,166.17,5.0
189.0,84.0,393.0,52.0,62.0,3912.71,8.0
190.0,210.0,272.0,67.0,146.0,560.39,4.0
191.0,40.0,922.0,27.0,41.0,1666.75,5.0
192.0,237.0,305.0,61.0,62.0,1409.76,3.0
193.0,606.0,636.0,89.0,150.0,1808.86,5.0
194.0,680.0,154.0,79.0,191.0,2397.43,7.0
195.0,955.0,990.0,32.0,39.0,519.16,2.0
196.0,929.0,526.0,72.0,86.0,647.05,2.0
197.0,778.0,528.0,24.0,20.0,4012.67,10.0
198.0,914.0,599.0,98.0,272.0,3422.77,9.0
199.0,324.0,919.0,53.0,331.0,1553.77,9.0
